protocol,cipher_suite,handshake_ms,key_exchange_ms,signature_ms,verify_ms,bytes_sent,bytes_received,public_key_size,signature_size,memory_kb
TLSv1.3,TLS_AES_128_GCM_SHA256,7.64,4.52,0.00,0.24,256,1348,256,256,6824
TLSv1.3,TLS_AES_128_GCM_SHA256,5.80,3.37,0.00,0.19,256,1348,256,256,6964
TLSv1.3,TLS_AES_128_GCM_SHA256,5.05,2.72,0.00,0.20,256,1348,256,256,6960
TLSv1.3,TLS_AES_128_GCM_SHA256,14.44,5.40,0.00,0.36,256,1348,256,256,6908
TLSv1.3,TLS_AES_128_GCM_SHA256,11.42,7.35,0.00,0.25,256,1348,256,256,6924
TLSv1.3,TLS_AES_128_GCM_SHA256,7.62,5.13,0.00,0.23,256,1348,256,256,6912
TLSv1.3,TLS_AES_128_GCM_SHA256,8.34,5.38,0.00,0.19,256,1348,256,256,6864
TLSv1.3,TLS_AES_128_GCM_SHA256,6.21,3.08,0.00,0.24,256,1348,256,256,6924
TLSv1.3,TLS_AES_128_GCM_SHA256,4.78,2.18,0.00,0.18,256,1348,256,256,6932
TLSv1.3,TLS_AES_128_GCM_SHA256,16.65,9.59,0.00,0.27,256,1348,256,256,6916
