protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,2.35,0.00,0.25,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,1.84,0.00,0.16,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,1.92,0.00,0.18,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.03,0.00,0.17,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,1.79,0.00,0.17,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,3.07,0.00,0.18,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.06,0.00,0.18,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.04,0.00,0.17,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.68,0.00,0.27,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.16,0.00,0.18,3293,5610
