protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,2.54,0.30,0.00,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.07,0.28,0.00,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.13,0.25,0.00,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.35,0.37,0.00,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.03,0.25,0.00,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,3.46,1.21,0.00,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.46,0.34,0.00,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.34,0.40,0.00,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.95,0.43,0.00,3293,5610
TLSv1.3,TLS_AES_128_GCM_SHA256,2.37,0.43,0.00,3293,5610
