protocol,cipher_suite,kem_algorithm,sig_algorithm,handshake_ms,kem_keygen_ms,kem_encaps_ms,kem_decaps_ms,signature_ms,verify_ms,bytes_sent,bytes_received,kem_public_key_size,kem_ciphertext_size,sig_public_key_size,signature_size,memory_kb
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),45.50,0.00,0.08,0.00,0.20,0.00,4835,1209,1184,1088,1312,2420,6628
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),44.71,0.00,0.09,0.00,0.24,0.00,4835,1209,1184,1088,1312,2420,6516
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),44.56,0.00,0.07,0.00,0.12,0.00,4835,1209,1184,1088,1312,2420,6628
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),44.88,0.00,0.06,0.00,0.25,0.00,4835,1209,1184,1088,1312,2420,6540
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),44.68,0.00,0.09,0.00,0.20,0.00,4835,1209,1184,1088,1312,2420,6588
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),44.25,0.00,0.06,0.00,0.12,0.00,4835,1209,1184,1088,1312,2420,6588
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),45.30,0.00,0.09,0.00,0.11,0.00,4835,1209,1184,1088,1312,2420,6588
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),44.11,0.00,0.05,0.00,0.27,0.00,4835,1209,1184,1088,1312,2420,6588
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),44.25,0.00,0.08,0.00,0.10,0.00,4835,1209,1184,1088,1312,2420,6588
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),45.78,0.00,0.06,0.00,0.57,0.00,4835,1209,1184,1088,1312,2420,6588
