protocol,cipher_suite,kem_algorithm,sig_algorithm,handshake_ms,kem_keygen_ms,kem_encaps_ms,kem_decaps_ms,signature_ms,verify_ms,bytes_sent,bytes_received,kem_public_key_size,kem_ciphertext_size,sig_public_key_size,signature_size,memory_kb
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),4.46,3.81,0.00,0.04,0.00,0.10,1209,4835,1184,1088,1312,2420,6524
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),4.34,3.65,0.00,0.04,0.00,0.07,1209,4835,1184,1088,1312,2420,6400
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),4.25,3.63,0.00,0.07,0.00,0.10,1209,4835,1184,1088,1312,2420,6692
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),4.17,3.47,0.00,0.07,0.00,0.09,1209,4835,1184,1088,1312,2420,6636
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),4.16,3.46,0.00,0.08,0.00,0.09,1209,4835,1184,1088,1312,2420,6524
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),3.98,3.51,0.00,0.04,0.00,0.09,1209,4835,1184,1088,1312,2420,6680
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),3.80,3.31,0.00,0.04,0.00,0.07,1209,4835,1184,1088,1312,2420,6584
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),3.80,3.13,0.00,0.04,0.00,0.08,1209,4835,1184,1088,1312,2420,6536
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),3.60,3.14,0.00,0.04,0.00,0.08,1209,4835,1184,1088,1312,2420,6544
PQ-TLS-1.3,AES_128_GCM_SHA256,ML-KEM-768 (Kyber),ML-DSA-44 (Dilithium2),4.13,3.21,0.00,0.04,0.00,0.08,1209,4835,1184,1088,1312,2420,6628
