protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,91.90,0.00,0.20,2420,8348
TLSv1.3,TLS_AES_128_GCM_SHA256,81.28,0.00,0.17,2420,8348
TLSv1.3,TLS_AES_128_GCM_SHA256,71.35,0.00,0.16,2420,8348
TLSv1.3,TLS_AES_128_GCM_SHA256,71.53,0.00,0.15,2420,8348
TLSv1.3,TLS_AES_128_GCM_SHA256,115.68,0.00,0.16,2420,8348
TLSv1.3,TLS_AES_128_GCM_SHA256,83.58,0.00,0.14,2420,8348
TLSv1.3,TLS_AES_128_GCM_SHA256,91.94,0.00,0.15,2420,8348
TLSv1.3,TLS_AES_128_GCM_SHA256,89.30,0.00,0.21,2420,8348
TLSv1.3,TLS_AES_128_GCM_SHA256,90.09,0.00,0.14,2420,8348
TLSv1.3,TLS_AES_128_GCM_SHA256,106.46,0.00,0.21,2420,8348
