protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,3.00,0.14,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.65,0.12,0.00,72,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.21,0.17,0.00,70,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.58,0.14,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.61,0.10,0.00,70,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.77,0.11,0.00,72,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.03,0.14,0.00,72,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.55,0.10,0.00,72,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.69,0.15,0.00,72,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.15,0.14,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.58,0.12,0.00,70,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.72,0.11,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.59,0.10,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.60,0.10,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.75,0.14,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.68,0.16,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.71,0.10,0.00,72,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.47,0.13,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.33,0.10,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.39,0.11,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.95,0.13,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.26,0.10,0.00,70,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.46,0.10,0.00,70,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.61,0.10,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.50,0.12,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.66,0.10,0.00,70,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.57,0.10,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.63,0.10,0.00,70,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.70,0.10,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.74,0.13,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.34,0.14,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.80,0.13,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.16,0.10,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.15,0.12,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.37,0.11,0.00,70,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.63,0.12,0.00,72,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.46,0.09,0.00,71,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.98,0.10,0.00,72,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,3.28,0.10,0.00,70,1263
TLSv1.3,TLS_AES_128_GCM_SHA256,2.83,0.14,0.00,71,1263
