protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,236.76,0.00,2.08,104,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,61.90,0.00,2.38,102,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,61.96,0.00,2.06,102,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,46.71,0.00,2.06,103,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,59.16,0.00,2.11,103,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,50.26,0.00,2.07,104,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,62.52,0.00,2.04,104,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,50.11,0.00,2.18,102,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,47.96,0.00,2.28,103,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,48.43,0.00,2.03,102,1394
TLSv1.3,TLS_AES_128_GCM_SHA256,67.02,0.00,2.03,103,1394
