protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,79.12,0.15,0.00,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,88.76,0.08,0.00,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,82.61,0.18,0.00,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,82.23,0.14,0.00,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,75.95,0.10,0.00,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,76.42,0.10,0.00,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,90.42,0.15,0.00,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,68.66,0.56,0.00,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,90.16,0.10,0.00,3293,11374
TLSv1.3,TLS_AES_128_GCM_SHA256,85.08,0.10,0.00,3293,11374
