protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,218.05,0.00,3.38,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,194.45,0.00,2.33,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,213.17,0.00,2.12,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,214.35,0.00,2.33,102,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,208.12,0.00,2.28,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,283.76,0.00,2.32,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,180.34,0.00,1.87,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,214.92,0.00,2.61,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,215.75,0.00,2.80,102,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,110.63,0.00,2.96,102,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,190.77,0.00,2.24,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,42.46,0.00,3.06,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,206.00,0.00,2.46,102,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,244.09,0.00,2.05,102,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,214.20,0.00,2.34,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,109.78,0.00,3.19,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,213.96,0.00,2.20,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,138.14,0.00,6.57,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,214.30,0.00,2.14,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,215.28,0.00,2.49,103,1407
