protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,121.56,1.83,0.00,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,196.66,2.75,0.00,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,111.81,2.42,0.00,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,114.18,1.82,0.00,102,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,210.06,1.30,0.00,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,306.98,2.28,0.00,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,269.03,2.06,0.00,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,99.12,1.68,0.00,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,116.08,1.72,0.00,102,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,108.37,2.56,0.00,102,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,261.05,1.79,0.00,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,41.15,2.03,0.00,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,297.54,0.98,0.00,102,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,307.07,1.03,0.00,102,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,108.81,2.10,0.00,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,109.61,2.14,0.00,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,112.16,2.34,0.00,103,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,49.12,0.70,0.00,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,220.66,2.01,0.00,104,1407
TLSv1.3,TLS_AES_128_GCM_SHA256,114.84,1.95,0.00,103,1407
