protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,14.39,0.00,0.48,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,18.55,0.00,0.72,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.09,0.00,0.27,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,144.42,0.00,0.21,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,41.55,0.00,0.85,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.78,0.00,0.19,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,210.16,0.00,0.22,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,211.60,0.00,0.23,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,213.05,0.00,0.20,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,211.16,0.00,0.21,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,19.39,0.00,0.49,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,457.88,0.00,0.21,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,54.62,0.00,0.23,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,15.32,0.00,0.28,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,16.97,0.00,0.25,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,214.90,0.00,0.93,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,210.91,0.00,0.23,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,214.56,0.00,0.19,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,15.62,0.00,0.34,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,211.65,0.00,0.37,3293,11386
