protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,14.14,1.32,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,16.32,0.53,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.23,0.41,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,43.03,0.58,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,40.47,0.45,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,15.23,1.26,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,109.60,0.32,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,110.19,0.56,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,113.66,0.78,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,109.73,0.60,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,18.62,0.61,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,510.23,0.41,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,53.20,0.97,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.68,0.25,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,16.91,1.26,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,115.02,1.18,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,110.75,0.81,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,165.22,0.95,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,15.44,1.06,0.00,3293,11386
TLSv1.3,TLS_AES_128_GCM_SHA256,110.38,0.28,0.00,3293,11386
