protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,15.38,0.00,2.95,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,18.40,0.00,3.01,104,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,16.86,0.00,3.12,104,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.50,0.00,2.40,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,15.61,0.00,3.01,102,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,15.84,0.00,3.42,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,21.83,0.00,3.44,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,17.09,0.00,2.52,102,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,18.79,0.00,3.13,103,1386
TLSv1.3,TLS_AES_128_GCM_SHA256,14.49,0.00,2.32,102,1386
