protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,1.89,0.00,0.16,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.69,0.00,0.14,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.78,0.00,0.16,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.63,0.00,0.14,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.04,0.00,0.15,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.10,0.00,0.19,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.12,0.00,0.15,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.75,0.00,0.14,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,1.89,0.00,0.15,3293,11362
TLSv1.3,TLS_AES_128_GCM_SHA256,2.04,0.00,0.16,3293,11362
