protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,28.33,0.00,5.59,103,1401
TLSv1.3,TLS_AES_128_GCM_SHA256,19.45,0.00,3.27,103,1401
TLSv1.3,TLS_AES_128_GCM_SHA256,13.46,0.00,3.33,103,1401
TLSv1.3,TLS_AES_128_GCM_SHA256,14.58,0.00,2.79,102,1401
TLSv1.3,TLS_AES_128_GCM_SHA256,20.16,0.00,3.35,103,1401
TLSv1.3,TLS_AES_128_GCM_SHA256,33.28,0.00,6.10,102,1401
TLSv1.3,TLS_AES_128_GCM_SHA256,15.38,0.00,2.33,103,1401
TLSv1.3,TLS_AES_128_GCM_SHA256,20.11,0.00,3.50,104,1401
TLSv1.3,TLS_AES_128_GCM_SHA256,24.88,0.00,3.32,102,1401
TLSv1.3,TLS_AES_128_GCM_SHA256,17.04,0.00,3.27,104,1401
