protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,5.04,0.00,0.19,3293,11380
TLSv1.3,TLS_AES_128_GCM_SHA256,5.13,0.00,0.29,3293,11380
TLSv1.3,TLS_AES_128_GCM_SHA256,3.55,0.00,0.18,3293,11380
TLSv1.3,TLS_AES_128_GCM_SHA256,5.08,0.00,0.15,3293,11380
TLSv1.3,TLS_AES_128_GCM_SHA256,7.35,0.00,0.18,3293,11380
TLSv1.3,TLS_AES_128_GCM_SHA256,3.91,0.00,0.16,3293,11380
TLSv1.3,TLS_AES_128_GCM_SHA256,5.36,0.00,0.18,3293,11380
TLSv1.3,TLS_AES_128_GCM_SHA256,4.85,0.00,0.16,3293,11380
TLSv1.3,TLS_AES_128_GCM_SHA256,5.90,0.00,0.16,3293,11380
TLSv1.3,TLS_AES_128_GCM_SHA256,4.29,0.00,0.16,3293,11380
