protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_256_GCM_SHA384,76.10,2.52,0.00,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,104.06,2.53,0.00,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,104.04,3.04,0.00,138,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,103.52,2.09,0.00,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,98.35,2.05,0.00,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,73.78,2.93,0.00,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,75.00,2.04,0.00,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,68.04,2.50,0.00,138,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,81.78,2.43,0.00,139,1544
TLSv1.3,TLS_AES_256_GCM_SHA384,70.72,2.05,0.00,138,1544
