protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,3.03,0.99,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,3.25,1.10,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.60,0.58,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.67,0.46,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.44,1.03,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.38,0.64,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.13,0.30,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,3.04,1.18,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.31,0.67,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.23,0.57,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.53,0.55,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.52,0.38,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.33,0.50,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.52,0.83,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.32,0.39,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.42,0.63,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.24,0.27,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.24,0.28,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.25,0.38,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.24,1.15,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,3.13,0.51,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,3.35,0.32,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,3.26,0.36,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.49,0.41,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.87,1.33,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.83,0.88,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.30,0.46,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.51,0.62,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.78,0.64,0.00,4595,15246
TLSv1.3,TLS_AES_128_GCM_SHA256,2.71,0.43,0.00,4595,15246
