protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_256_GCM_SHA384,43.41,1.19,0.00,138,1551
TLSv1.3,TLS_AES_256_GCM_SHA384,46.78,2.28,0.00,139,1551
TLSv1.3,TLS_AES_256_GCM_SHA384,45.79,3.04,0.00,138,1551
TLSv1.3,TLS_AES_256_GCM_SHA384,46.70,2.42,0.00,139,1551
TLSv1.3,TLS_AES_256_GCM_SHA384,50.25,2.26,0.00,139,1551
TLSv1.3,TLS_AES_256_GCM_SHA384,52.97,4.39,0.00,139,1551
TLSv1.3,TLS_AES_256_GCM_SHA384,47.06,2.64,0.00,138,1551
TLSv1.3,TLS_AES_256_GCM_SHA384,49.85,2.48,0.00,139,1551
TLSv1.3,TLS_AES_256_GCM_SHA384,40.83,1.29,0.00,138,1551
TLSv1.3,TLS_AES_256_GCM_SHA384,48.29,2.20,0.00,139,1551
