protocol,cipher_suite,handshake_ms,signing_ms,verification_ms,signature_bytes,certificate_bytes
TLSv1.3,TLS_AES_128_GCM_SHA256,8.42,0.99,0.00,4595,15264
TLSv1.3,TLS_AES_128_GCM_SHA256,6.71,0.97,0.00,4595,15264
TLSv1.3,TLS_AES_128_GCM_SHA256,6.67,0.55,0.00,4595,15264
TLSv1.3,TLS_AES_128_GCM_SHA256,6.87,0.51,0.00,4595,15264
TLSv1.3,TLS_AES_128_GCM_SHA256,6.36,0.45,0.00,4595,15264
TLSv1.3,TLS_AES_128_GCM_SHA256,6.09,0.57,0.00,4595,15264
TLSv1.3,TLS_AES_128_GCM_SHA256,6.29,0.53,0.00,4595,15264
TLSv1.3,TLS_AES_128_GCM_SHA256,6.29,0.83,0.00,4595,15264
TLSv1.3,TLS_AES_128_GCM_SHA256,5.67,0.55,0.00,4595,15264
TLSv1.3,TLS_AES_128_GCM_SHA256,5.70,1.55,0.00,4595,15264
